,prediction,Truelabel
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,9.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,9.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,7.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,0.0,0.0
157,0.0,0.0
158,0.0,0.0
159,0.0,0.0
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,0.0,0.0
166,0.0,0.0
167,0.0,0.0
168,0.0,0.0
169,0.0,0.0
170,0.0,0.0
171,9.0,0.0
172,0.0,0.0
173,0.0,0.0
174,1.0,1.0
175,1.0,1.0
176,1.0,1.0
177,1.0,1.0
178,1.0,1.0
179,1.0,1.0
180,1.0,1.0
181,1.0,1.0
182,1.0,1.0
183,1.0,1.0
184,1.0,1.0
185,1.0,1.0
186,1.0,1.0
187,1.0,1.0
188,1.0,1.0
189,1.0,1.0
190,1.0,1.0
191,1.0,1.0
192,1.0,1.0
193,1.0,1.0
194,1.0,1.0
195,1.0,1.0
196,1.0,1.0
197,1.0,1.0
198,1.0,1.0
199,1.0,1.0
200,1.0,1.0
201,1.0,1.0
202,1.0,1.0
203,1.0,1.0
204,1.0,1.0
205,1.0,1.0
206,1.0,1.0
207,1.0,1.0
208,1.0,1.0
209,1.0,1.0
210,1.0,1.0
211,1.0,1.0
212,1.0,1.0
213,1.0,1.0
214,1.0,1.0
215,1.0,1.0
216,1.0,1.0
217,1.0,1.0
218,1.0,1.0
219,1.0,1.0
220,1.0,1.0
221,1.0,1.0
222,1.0,1.0
223,1.0,1.0
224,1.0,1.0
225,1.0,1.0
226,1.0,1.0
227,1.0,1.0
228,1.0,1.0
229,1.0,1.0
230,1.0,1.0
231,1.0,1.0
232,1.0,1.0
233,1.0,1.0
234,1.0,1.0
235,1.0,1.0
236,1.0,1.0
237,1.0,1.0
238,1.0,1.0
239,1.0,1.0
240,1.0,1.0
241,1.0,1.0
242,1.0,1.0
243,1.0,1.0
244,1.0,1.0
245,1.0,1.0
246,1.0,1.0
247,1.0,1.0
248,1.0,1.0
249,1.0,1.0
250,1.0,1.0
251,1.0,1.0
252,1.0,1.0
253,1.0,1.0
254,1.0,1.0
255,1.0,1.0
256,1.0,1.0
257,1.0,1.0
258,1.0,1.0
259,1.0,1.0
260,1.0,1.0
261,1.0,1.0
262,1.0,1.0
263,1.0,1.0
264,1.0,1.0
265,1.0,1.0
266,1.0,1.0
267,1.0,1.0
268,1.0,1.0
269,1.0,1.0
270,1.0,1.0
271,1.0,1.0
272,1.0,1.0
273,1.0,1.0
274,1.0,1.0
275,1.0,1.0
276,1.0,1.0
277,1.0,1.0
278,1.0,1.0
279,1.0,1.0
280,1.0,1.0
281,1.0,1.0
282,1.0,1.0
283,1.0,1.0
284,1.0,1.0
285,1.0,1.0
286,1.0,1.0
287,1.0,1.0
288,1.0,1.0
289,1.0,1.0
290,1.0,1.0
291,1.0,1.0
292,1.0,1.0
293,1.0,1.0
294,1.0,1.0
295,1.0,1.0
296,1.0,1.0
297,1.0,1.0
298,1.0,1.0
299,1.0,1.0
300,1.0,1.0
301,1.0,1.0
302,1.0,1.0
303,1.0,1.0
304,1.0,1.0
305,1.0,1.0
306,1.0,1.0
307,1.0,1.0
308,1.0,1.0
309,1.0,1.0
310,1.0,1.0
311,1.0,1.0
312,1.0,1.0
313,1.0,1.0
314,1.0,1.0
315,1.0,1.0
316,1.0,1.0
317,1.0,1.0
318,1.0,1.0
319,1.0,1.0
320,1.0,1.0
321,1.0,1.0
322,1.0,1.0
323,1.0,1.0
324,1.0,1.0
325,1.0,1.0
326,1.0,1.0
327,1.0,1.0
328,1.0,1.0
329,1.0,1.0
330,1.0,1.0
331,1.0,1.0
332,1.0,1.0
333,2.0,2.0
334,2.0,2.0
335,2.0,2.0
336,2.0,2.0
337,2.0,2.0
338,2.0,2.0
339,2.0,2.0
340,2.0,2.0
341,2.0,2.0
342,2.0,2.0
343,2.0,2.0
344,2.0,2.0
345,2.0,2.0
346,4.0,2.0
347,2.0,2.0
348,2.0,2.0
349,2.0,2.0
350,2.0,2.0
351,2.0,2.0
352,2.0,2.0
353,2.0,2.0
354,2.0,2.0
355,2.0,2.0
356,2.0,2.0
357,2.0,2.0
358,2.0,2.0
359,2.0,2.0
360,2.0,2.0
361,2.0,2.0
362,2.0,2.0
363,2.0,2.0
364,2.0,2.0
365,2.0,2.0
366,2.0,2.0
367,2.0,2.0
368,2.0,2.0
369,2.0,2.0
370,2.0,2.0
371,2.0,2.0
372,2.0,2.0
373,2.0,2.0
374,2.0,2.0
375,2.0,2.0
376,2.0,2.0
377,2.0,2.0
378,2.0,2.0
379,2.0,2.0
380,2.0,2.0
381,2.0,2.0
382,2.0,2.0
383,2.0,2.0
384,2.0,2.0
385,2.0,2.0
386,2.0,2.0
387,2.0,2.0
388,2.0,2.0
389,2.0,2.0
390,2.0,2.0
391,2.0,2.0
392,2.0,2.0
393,2.0,2.0
394,2.0,2.0
395,2.0,2.0
396,2.0,2.0
397,2.0,2.0
398,2.0,2.0
399,2.0,2.0
400,2.0,2.0
401,2.0,2.0
402,2.0,2.0
403,2.0,2.0
404,2.0,2.0
405,2.0,2.0
406,2.0,2.0
407,2.0,2.0
408,2.0,2.0
409,2.0,2.0
410,2.0,2.0
411,2.0,2.0
412,2.0,2.0
413,2.0,2.0
414,2.0,2.0
415,2.0,2.0
416,2.0,2.0
417,2.0,2.0
418,2.0,2.0
419,2.0,2.0
420,2.0,2.0
421,2.0,2.0
422,2.0,2.0
423,2.0,2.0
424,2.0,2.0
425,2.0,2.0
426,2.0,2.0
427,2.0,2.0
428,2.0,2.0
429,2.0,2.0
430,2.0,2.0
431,2.0,2.0
432,2.0,2.0
433,2.0,2.0
434,2.0,2.0
435,2.0,2.0
436,2.0,2.0
437,2.0,2.0
438,2.0,2.0
439,2.0,2.0
440,2.0,2.0
441,2.0,2.0
442,2.0,2.0
443,2.0,2.0
444,2.0,2.0
445,2.0,2.0
446,2.0,2.0
447,2.0,2.0
448,2.0,2.0
449,2.0,2.0
450,2.0,2.0
451,2.0,2.0
452,2.0,2.0
453,2.0,2.0
454,2.0,2.0
455,2.0,2.0
456,2.0,2.0
457,2.0,2.0
458,2.0,2.0
459,2.0,2.0
460,2.0,2.0
461,2.0,2.0
462,2.0,2.0
463,2.0,2.0
464,2.0,2.0
465,2.0,2.0
466,2.0,2.0
467,2.0,2.0
468,2.0,2.0
469,2.0,2.0
470,2.0,2.0
471,2.0,2.0
472,2.0,2.0
473,2.0,2.0
474,2.0,2.0
475,2.0,2.0
476,2.0,2.0
477,2.0,2.0
478,2.0,2.0
479,2.0,2.0
480,2.0,2.0
481,2.0,2.0
482,2.0,2.0
483,2.0,2.0
484,2.0,2.0
485,2.0,2.0
486,2.0,2.0
487,2.0,2.0
488,2.0,2.0
489,2.0,2.0
490,2.0,2.0
491,2.0,2.0
492,2.0,2.0
493,2.0,2.0
494,2.0,2.0
495,2.0,2.0
496,3.0,3.0
497,3.0,3.0
498,3.0,3.0
499,3.0,3.0
500,3.0,3.0
501,3.0,3.0
502,3.0,3.0
503,3.0,3.0
504,3.0,3.0
505,3.0,3.0
506,3.0,3.0
507,3.0,3.0
508,3.0,3.0
509,3.0,3.0
510,3.0,3.0
511,3.0,3.0
512,3.0,3.0
513,3.0,3.0
514,3.0,3.0
515,3.0,3.0
516,3.0,3.0
517,3.0,3.0
518,3.0,3.0
519,0.0,3.0
520,3.0,3.0
521,3.0,3.0
522,3.0,3.0
523,3.0,3.0
524,3.0,3.0
525,3.0,3.0
526,3.0,3.0
527,3.0,3.0
528,3.0,3.0
529,3.0,3.0
530,3.0,3.0
531,3.0,3.0
532,3.0,3.0
533,3.0,3.0
534,3.0,3.0
535,3.0,3.0
536,3.0,3.0
537,3.0,3.0
538,3.0,3.0
539,3.0,3.0
540,3.0,3.0
541,3.0,3.0
542,3.0,3.0
543,3.0,3.0
544,3.0,3.0
545,3.0,3.0
546,3.0,3.0
547,3.0,3.0
548,3.0,3.0
549,3.0,3.0
550,3.0,3.0
551,3.0,3.0
552,3.0,3.0
553,3.0,3.0
554,3.0,3.0
555,3.0,3.0
556,3.0,3.0
557,3.0,3.0
558,3.0,3.0
559,3.0,3.0
560,3.0,3.0
561,3.0,3.0
562,3.0,3.0
563,3.0,3.0
564,3.0,3.0
565,3.0,3.0
566,3.0,3.0
567,3.0,3.0
568,3.0,3.0
569,3.0,3.0
570,3.0,3.0
571,3.0,3.0
572,3.0,3.0
573,3.0,3.0
574,3.0,3.0
575,3.0,3.0
576,3.0,3.0
577,3.0,3.0
578,3.0,3.0
579,3.0,3.0
580,3.0,3.0
581,3.0,3.0
582,3.0,3.0
583,3.0,3.0
584,3.0,3.0
585,3.0,3.0
586,3.0,3.0
587,3.0,3.0
588,3.0,3.0
589,3.0,3.0
590,3.0,3.0
591,3.0,3.0
592,3.0,3.0
593,3.0,3.0
594,3.0,3.0
595,3.0,3.0
596,3.0,3.0
597,3.0,3.0
598,3.0,3.0
599,3.0,3.0
600,3.0,3.0
601,3.0,3.0
602,3.0,3.0
603,3.0,3.0
604,3.0,3.0
605,3.0,3.0
606,3.0,3.0
607,3.0,3.0
608,3.0,3.0
609,3.0,3.0
610,3.0,3.0
611,3.0,3.0
612,3.0,3.0
613,3.0,3.0
614,3.0,3.0
615,3.0,3.0
616,3.0,3.0
617,3.0,3.0
618,3.0,3.0
619,3.0,3.0
620,3.0,3.0
621,3.0,3.0
622,3.0,3.0
623,3.0,3.0
624,3.0,3.0
625,3.0,3.0
626,3.0,3.0
627,3.0,3.0
628,3.0,3.0
629,3.0,3.0
630,3.0,3.0
631,3.0,3.0
632,3.0,3.0
633,3.0,3.0
634,3.0,3.0
635,3.0,3.0
636,3.0,3.0
637,3.0,3.0
638,3.0,3.0
639,3.0,3.0
640,3.0,3.0
641,3.0,3.0
642,3.0,3.0
643,3.0,3.0
644,3.0,3.0
645,3.0,3.0
646,3.0,3.0
647,3.0,3.0
648,3.0,3.0
649,3.0,3.0
650,3.0,3.0
651,3.0,3.0
652,3.0,3.0
653,3.0,3.0
654,3.0,3.0
655,3.0,3.0
656,3.0,3.0
657,3.0,3.0
658,3.0,3.0
659,3.0,3.0
660,3.0,3.0
661,4.0,4.0
662,4.0,4.0
663,4.0,4.0
664,4.0,4.0
665,4.0,4.0
666,4.0,4.0
667,4.0,4.0
668,4.0,4.0
669,4.0,4.0
670,4.0,4.0
671,4.0,4.0
672,4.0,4.0
673,4.0,4.0
674,4.0,4.0
675,4.0,4.0
676,4.0,4.0
677,4.0,4.0
678,4.0,4.0
679,4.0,4.0
680,4.0,4.0
681,4.0,4.0
682,4.0,4.0
683,4.0,4.0
684,4.0,4.0
685,4.0,4.0
686,4.0,4.0
687,4.0,4.0
688,4.0,4.0
689,4.0,4.0
690,4.0,4.0
691,4.0,4.0
692,4.0,4.0
693,4.0,4.0
694,4.0,4.0
695,4.0,4.0
696,4.0,4.0
697,4.0,4.0
698,4.0,4.0
699,4.0,4.0
700,4.0,4.0
701,4.0,4.0
702,4.0,4.0
703,4.0,4.0
704,8.0,4.0
705,4.0,4.0
706,4.0,4.0
707,4.0,4.0
708,4.0,4.0
709,4.0,4.0
710,4.0,4.0
711,4.0,4.0
712,4.0,4.0
713,4.0,4.0
714,4.0,4.0
715,4.0,4.0
716,4.0,4.0
717,4.0,4.0
718,4.0,4.0
719,4.0,4.0
720,4.0,4.0
721,4.0,4.0
722,4.0,4.0
723,4.0,4.0
724,4.0,4.0
725,4.0,4.0
726,4.0,4.0
727,4.0,4.0
728,4.0,4.0
729,4.0,4.0
730,4.0,4.0
731,4.0,4.0
732,4.0,4.0
733,4.0,4.0
734,4.0,4.0
735,4.0,4.0
736,4.0,4.0
737,4.0,4.0
738,4.0,4.0
739,4.0,4.0
740,4.0,4.0
741,4.0,4.0
742,4.0,4.0
743,4.0,4.0
744,4.0,4.0
745,4.0,4.0
746,4.0,4.0
747,4.0,4.0
748,4.0,4.0
749,4.0,4.0
750,4.0,4.0
751,4.0,4.0
752,4.0,4.0
753,4.0,4.0
754,4.0,4.0
755,4.0,4.0
756,4.0,4.0
757,4.0,4.0
758,4.0,4.0
759,4.0,4.0
760,4.0,4.0
761,4.0,4.0
762,4.0,4.0
763,4.0,4.0
764,4.0,4.0
765,4.0,4.0
766,4.0,4.0
767,4.0,4.0
768,4.0,4.0
769,4.0,4.0
770,4.0,4.0
771,4.0,4.0
772,4.0,4.0
773,4.0,4.0
774,4.0,4.0
775,4.0,4.0
776,4.0,4.0
777,4.0,4.0
778,4.0,4.0
779,4.0,4.0
780,4.0,4.0
781,4.0,4.0
782,4.0,4.0
783,4.0,4.0
784,4.0,4.0
785,4.0,4.0
786,4.0,4.0
787,4.0,4.0
788,4.0,4.0
789,4.0,4.0
790,4.0,4.0
791,4.0,4.0
792,4.0,4.0
793,4.0,4.0
794,4.0,4.0
795,4.0,4.0
796,4.0,4.0
797,4.0,4.0
798,4.0,4.0
799,4.0,4.0
800,4.0,4.0
801,4.0,4.0
802,4.0,4.0
803,4.0,4.0
804,4.0,4.0
805,4.0,4.0
806,4.0,4.0
807,4.0,4.0
808,4.0,4.0
809,4.0,4.0
810,4.0,4.0
811,4.0,4.0
812,4.0,4.0
